transaction_amount,account_age_days,transactions_last_24h,international_transaction,unusual_device,unusual_location,failed_login_attempts,distance_from_home_km,fraud
87.73,2138,5,1,1,0,0,13.84,0
26.15,3857,4,1,0,0,1,20.4,0
131.03,304,11,1,0,0,0,47.37,1
155.48,3268,4,0,0,0,0,32.1,0
11.52,2170,5,1,0,0,1,7.94,0
20.66,2902,8,0,0,0,0,73.49,1
74.82,413,6,1,0,0,0,77.28,1
50.17,3480,3,0,0,0,0,56.76,0
65.69,75,6,0,0,0,0,46.06,1
30.95,3630,5,0,0,0,0,15.07,0
147.15,2641,3,0,0,1,1,96.67,1
134.29,1369,5,0,0,0,0,27.58,0
70.77,58,4,0,0,0,0,2.9,0
183.92,2455,2,0,0,0,1,19.28,0
101.57,377,3,0,1,0,1,30.71,0
30.77,2446,8,0,0,0,0,42.89,0
92.93,3099,5,0,0,0,1,38.16,0
28.13,1091,6,0,0,1,0,31.15,0
147.03,977,6,0,0,0,0,36.84,0
63.76,911,3,0,0,0,1,37.06,1
56.47,922,4,0,0,0,0,16.09,0
36.13,482,2,0,0,0,0,89.04,0
200.39,1021,7,0,0,0,0,57.27,1
58.03,2647,6,1,0,0,0,25.01,0
45.35,1230,7,0,0,0,0,43.73,0
48.57,3130,6,0,0,0,0,34.21,0
107.67,3282,3,0,0,0,1,70.29,1
92.66,3050,4,1,0,0,0,98.02,1
96.69,2171,6,0,0,0,0,20.5,1
98.27,1285,4,0,1,0,0,13.03,1
458.28,3721,3,0,0,0,0,67.19,1
46.26,844,5,0,0,0,1,59.65,1
42.06,1874,6,0,0,0,1,10.92,0
32.06,1830,3,1,0,0,0,31.97,1
116.09,2989,5,1,0,0,0,43.76,0
184.21,2200,2,0,0,0,0,42.41,0
60.19,3204,5,0,0,0,2,7.25,0
31.31,3678,8,0,0,0,0,21.51,0
31.75,1580,7,1,0,0,1,60.58,1
119.77,3503,6,1,1,1,1,33.1,0
130.18,703,1,0,0,1,0,55.87,0
108.73,3666,2,0,0,0,0,12.88,0
36.64,736,3,0,0,0,0,8.46,0
82.18,3405,9,0,0,0,0,23.04,0
74.07,1579,5,0,0,0,0,28.7,0
81.19,3859,4,0,0,0,1,45.38,0
146.1,542,6,0,0,1,0,22.9,1
81.55,1878,3,0,0,1,0,29.31,1
122.86,3610,7,1,0,0,0,7.28,1
70.87,218,4,0,0,1,0,11.34,0
86.51,1082,6,0,0,0,0,35.66,0
117.7,361,5,0,0,0,1,56.01,1
17.97,1305,8,0,0,0,1,57.51,1
50.01,1579,3,0,0,0,0,2.73,0
43.67,2486,3,1,0,0,0,8.9,0
37.53,1053,5,0,0,0,1,28.34,0
52.06,659,3,0,0,0,2,9.81,1
256.07,704,5,0,0,0,0,8.89,0
30.59,3755,5,0,0,0,0,7.51,1
159.41,3814,6,1,0,0,0,94.5,1
14.66,908,3,0,0,0,0,5.92,0
49.33,805,6,0,0,0,0,19.42,0
77.21,245,5,0,0,0,1,28.44,0
113.02,3838,5,1,0,0,0,37.52,0
126.48,2833,7,0,0,0,0,4.21,0
136.18,3050,5,0,0,0,1,61.78,1
48.72,1183,6,0,0,0,1,23.06,1
43.99,2574,6,0,0,0,2,11.12,0
144.34,267,3,0,0,0,1,13.85,0
56.14,2713,9,1,0,0,0,40.25,0
21.16,2331,3,0,0,0,1,55.14,0
24.05,1345,5,0,0,0,0,59.87,0
29.15,2850,7,0,0,0,0,47.02,0
104.32,2596,5,0,0,0,0,15.78,0
75.81,1772,5,0,0,0,0,46.56,0
124.14,771,8,0,1,0,0,14.64,1
45.4,123,5,0,0,0,0,24.27,0
76.91,3752,4,0,1,0,0,100.1,1
117.1,1146,4,1,0,0,1,32.6,0
50.48,1228,3,0,0,0,2,51.29,1
100.59,2733,4,0,0,0,0,3.84,0
36.75,1043,6,0,0,0,0,31.7,1
48.1,1521,5,0,0,0,1,2.9,0
47.3,2853,4,0,0,0,0,19.44,0
22.73,2393,3,0,0,0,0,24.28,0
103.37,2636,6,1,0,0,0,18.23,1
43.71,48,5,0,0,0,0,45.51,0
67.44,1821,3,0,0,0,0,22.91,0
102.79,1916,6,0,0,0,1,48.55,0
99.67,2540,4,0,0,0,0,29.33,0
121.37,631,6,0,0,0,0,30.32,1
61.03,663,8,0,0,0,0,39.14,0
45.56,3056,2,0,0,0,0,35.4,0
62.07,2703,4,1,0,0,0,29.54,0
14.61,3250,6,0,0,0,1,38.15,0
18.13,1104,4,0,0,0,0,24.9,1
20.28,3990,6,0,0,1,1,60.85,0
27.18,1113,5,0,0,0,0,33.8,1
95.56,2614,4,1,0,0,0,41.21,0
29.52,673,3,0,0,0,1,4.49,0
47.45,3676,5,0,0,0,0,1.29,0
214.71,1349,4,0,0,0,0,49.1,0
48.39,3215,6,0,0,0,1,5.98,0
129.51,1345,5,0,0,1,0,62.88,1
28.78,3169,4,1,0,0,0,70.69,0
55.43,1833,6,0,0,1,0,63.8,0
28.36,278,9,0,0,0,0,39.51,1
49.15,785,2,0,0,0,0,3.53,0
142.06,2743,4,0,0,1,0,3.42,0
14.09,796,7,0,0,0,0,7.18,0
98.59,1123,5,0,0,0,1,15.3,0
82.6,2180,6,0,0,0,0,54.95,1
39.07,1034,6,0,0,0,0,21.04,0
18.15,541,5,1,0,0,0,65.41,0
71.16,2508,2,0,0,0,0,17.89,0
41.41,2764,9,0,0,0,0,134.33,1
82.22,2940,4,0,0,0,0,77.58,0
68.01,3777,3,0,0,0,0,19.8,0
281.91,524,1,0,0,1,1,13.65,0
53.76,1724,7,0,1,0,0,78.26,1
26.55,958,6,0,0,0,0,10.78,0
78.36,3607,5,0,0,1,0,18.54,1
81.29,2172,2,0,0,0,1,10.6,0
226.62,420,2,1,0,0,0,35.41,0
141.4,2777,5,0,0,0,0,68.53,0
91.94,200,4,0,0,0,0,20.43,0
248.88,1118,6,0,0,0,0,58.97,0
22.88,2893,8,0,0,0,1,37.31,1
37.5,2038,3,0,0,1,0,10.29,1
28.96,3051,2,0,0,0,0,19.09,0
46.95,2297,3,0,0,0,1,6.77,0
19.32,3376,3,0,1,0,0,94.15,1
118.11,2263,6,0,0,0,0,32.75,1
54.6,255,3,0,0,0,0,28.91,0
17.75,312,3,0,0,0,0,32.13,0
26.74,3114,4,0,0,0,1,13.32,1
88.43,183,5,0,0,0,1,21.21,1
141.79,1524,5,0,1,1,1,39.24,1
402.24,93,4,0,0,0,0,5.03,0
918.26,1234,5,0,0,0,1,2.54,0
96.83,2392,3,0,0,0,0,17.57,0
27.37,716,3,1,0,0,1,15.16,0
9.79,1880,7,0,0,1,1,71.65,1
84.85,3984,6,0,1,0,0,13.29,1
32.08,309,11,0,0,0,0,39.94,0
45.89,282,7,0,0,0,0,15.11,0
38.44,1106,3,0,0,0,0,38.16,0
58.75,3313,5,0,0,0,1,33.22,0
174.06,1641,7,1,0,0,0,84.34,0
76.81,2568,5,1,0,0,0,12.13,0
57.81,164,1,1,0,0,0,12.18,0
26.26,2948,5,0,0,0,0,149.06,0
14.77,297,5,0,0,0,0,66.78,0
43.05,2855,2,0,0,0,0,18.83,0
63.54,617,4,0,0,0,0,12.81,0
327.39,3437,4,0,0,0,2,11.19,0
74.98,1205,5,0,1,0,0,64.73,1
161.49,759,5,0,0,0,0,16.17,0
42.55,1366,7,0,0,0,0,13.67,0
22.96,33,4,0,1,0,0,13.34,0
27.98,685,10,0,0,0,0,44.59,1
34.72,2406,6,0,0,0,1,23.68,0
452.88,1224,8,0,0,0,0,66.26,1
31.84,1434,3,0,0,0,0,107.97,1
141.83,3234,6,0,0,0,0,33.27,0
29.59,521,6,1,0,0,0,36.02,1
154.23,1601,3,0,1,0,0,22.6,0
94.3,768,7,0,0,1,0,32.16,1
57.92,1946,5,0,0,0,0,3.78,0
64.28,1347,4,1,0,0,0,38.64,0
36.99,213,5,0,0,0,0,56.27,0
99.63,308,5,0,0,0,1,10.45,0
44.28,3413,3,0,0,0,0,95.59,0
22.13,255,5,0,0,0,1,17.89,1
21.11,3137,2,0,1,0,0,78.52,0
77.89,3666,10,0,0,0,0,47.6,1
276.22,1879,4,0,1,0,0,9.27,0
77.01,1269,4,0,0,0,0,63.62,1
59.93,3111,8,0,0,0,1,29.13,0
86.25,3929,1,0,0,1,0,41.58,0
